Time,03:00 - 06:00 (night),00:00 - 03:00 (night),21:00 - 24:00 (night),18:00 - 21:00 (night),15:00 - 18:00 (day),12:00 - 15:00 (day),09:00 - 12:00 (day),06:00 - 09:00 (day),Total calculated
RTA,835,1636,924,1272,1384,1356,1547,1088,10042
Percentages-RTA,0.083150767,0.162915754,0.092013543,0.126667994,0.137821151,0.135032862,0.154052977,0.108344951,
